food_tweet,sentiment_result
Longing mee goreng ??,1
MEE GORENG DALAM PLASTIC PUNN AHAHAHHAHA,0
"Guys, aku baru lepas cuba Vit’s Italian Mee Goreng perisa Bolognese. Pergh memang sedap teroks mee goreng ala-1",1
tak lama lagi mee goreng mamak pun di jadikan aiskrim ??,-1
Baru td ckp dgn dal nk diet taknak makan McD sekali masak maggi member??,0
Harini org kat rumah semua nk makan mee goreng. Dehek,1
"Semalam   share psal Kicap Pedas Mahsuri, terus pergi cari hari ni! ??",0
"Kicap dia sedaaaaap sgat, sesuai…",1
Masa sekolah agama dulu selalu bungkus mee atau nasi goreng dlm plastik. Pastu hujung koyakan sikit.,0
Siap bayam tumis air dgn ayam kicap pengaruh khairul amilin pny resepi. Huhu.. reluctant gak nak beli kicap pedas,1
got mee goreng? hahaha,0
mee goreng mamak kering ke basah? keliru,0
Amat memalukan..got prawn behing the mee goreng.,-1
Sedapnya bau mee goreng jiran sebelah masak,1
aaaaq sedapnyaaa mee goreng sg ara,1
Lakso aku rasa nak try buat esok.,0
Sampai sampai je dua kali breakfast (nasi goreng and mee goreng) gg,1
"Tadi melantak roti canai dgn laksam. Pastu puding trifle ?? nasi lemak, mee goreng dgn cake ada lagi ??",0
"Sebelum pergi office semalam, dah makan mee goreng mak buat.",0
Sya baru makan mee goreng td... Siap dgn jeruk lada.... Jeles tak???,1
na_dhania harini siapkan bekal syawal je dia nak nasik dgn bilis goreng tu. karipap coq badak tu frozen,0
Nak kurus tapi pagi-pagi dah bedal 1 pinggan mee goreng mak buat,0
Hokkaido +rendang ayam + pulut kuning + mee sup + cempedak goreng = tido tak bangon-1,0
nasi 7 benua... Mee goreng sotong...,0
Dari tadi sis bangun. Sis konon nak goreng mee.,0
",,, I left my mee goreng in the kitchen and its already -1.30am",0
michellemanika_ time time macam ni lapar la tengok mee goreng basah aish,1
Aina_bakrilee Bila ckp pasal careless pakai cincin ni teringat dekat my mom . Pernah masak mee goreng utk makan be,0
"Buka tudung saji nampak mee goreng. So aku buat keputusan, kena ikut cara Tiga Abdul. Amek bau je.",0
"Aku tak berapa minat sangat mee kuning, prefer kuey teow dan bihun. So malam ni first time aku masak mee kuning",-1
PLEASE MY MOOTS MAKES ME CRAVE FOR MEE GORENG BUT I DONT LIKE MEE GORENG HERE IT TASTE WEIRD AAAAAAAA,-1
is that.. mee goreng??? they look tasty ??,1
Aku sampai muak ye makan kat kl ni sebab dah rindu makanan jb. Nasi lemak pon aku boleh muak. Mee goreng,-1
betapa kecewanya aku sruh adiku masak mee goreng yang datang mee tomyam,-1
Sian Lily nak makan nasi Rizal bagi mee goreng pulak aduiii ??,0
"masak mee udon utk anak, baba request nasi goreng pulee.",0
Sedap x mee goreng,1
Baiknyaaa Rahman Bawak Kan Mee Goreng Untuk Usu....Yang Rizal Ini Bawak Mee Untuk Diri Sendiri ke Atau Untuk Lily Tu,0
"Rahman bawak mee goreng untuk Usu, ishhh, Usu hargailah Rahman, sebelum ada yang kebas..Rasanya nnti Yaya tu minat",0
no one will revoke tht card?? then at least eat mee goreng or meehoon goreng or something,0
UyainaArshad Tak sempat nak tngok mee goreng kesukaan Usu,0
UyainaArshad KENAPA TINGGALKAN MEE GORENG,-1
Makan mee goreng buat aku rasa bersalah ??,-1
y’all how many calories is in half a plate of mee goreng...,0
"baru mintak mee goreng, ko dah tanya dah dapat ke belum? scary la ko ni cik",0
Mee goreng basah,0
"Punya la lapar, search tempat makan best kat Fb. Tapi dapat kedai yang serve nasi goreng sejuk. Wth, goreng tengah…",-1
the best mee goreng basah ever,1
Finally.. Mee hoon kueh (hand-torn noodle) made by my mama recipe turun temurun ?? Thank you  youngsyefura bagi ika…,0
Dulu kalau arwah ayah dapat gaji mesti dia beli bahan-1 untuk masak mee goreng..katanya masak kat rumah puas hati si,0
"Hai! saya ada jual keropok keping yang belum digoreng. Keropok jenis nipis, tak rasa gatal…",0
Sian mee goreng.,-1
"Mak aku ni duk berdua pon masak mcm makan 3-4 org.. skali grg ikan 8 ekor, goreng mee sekuali, kalau x habis nnt kena bebel",0
Alhamdulillah..mee goreng mamak dah mendarat dgn jayanya..laki ckp mee goreng biasa mggu lps sdp ag????okla..lps nih x ltk kari ag????,1
UYOOOO YOYO MAKAN MEE GORENG HAHAHAHHAHAS,1
"semalam i said kat aqil,  okay -1morrow maybe i wan to cook mee goreng  dia dgn bajetnya berkata,  eh i dont eat mee",0
Stressed out Mee Goreng.,0
tamagotrash mee goreng yum,1
ArleenArnold__ Hahaha....mee goreng on.....mesti on bell...,1
hidup memang perit tapi tahu apa yang lagi perit? bila kau order maggi goreng tapi yang sampai mee goreng,0
zualyahya Haah yang selalu order mee goreng mamak tu??,0
Aryarfcc-101 Mee Goreng :v,0
"Selalu selepas senaman mmg normal badan akan rasa lapar, tempat favorite rakyat malaysia nk lepak makan lepas senam",0
tteokbuds nk mee goreng harituuu,1
Dia jadi mee goreng sbb kene masak banyak memang terpotong-1 lah hahaha,0
was supposed to cook mee goreng but it ended up as mee hailam ?? but it’s still sedap ??,1
Dari pagi makan Mee Kari lepastu pisang goreng lepastu seaweed lepastu keropok ikan lepastu otw lunch makan nasi be,0
Sabilaa0708 Aku juga wkwk ?? Tapinetah kenapa kek kurang batik klo kek gini??,-1
  keisnakim Emang itu ga masuk batik yaa? Yang motif-1 kek gitu udah kuanggap batik hehe,-1
 mengidam kek batik pulak,1
  KikiMUsam sy mkn manis sebab minum kopi n mkn kek batik. benda manis yg lain sy tk gemar sgt. kena start balik ni.,1
 rindu kek batik umi ??,1
  maszlee Area semenyih craving cheesekut/kek batik boleh pm saya,0
  mutualannnkuyyy Udah kek batik aja pake motif,1
 aku nk kek batik,1
  BTS_twt bapak nya kek lagi pake batik,0
  nadeaqistina babe i baru lepas mkn kek batik ??. U off ke esok?,0
 Teringin makan kek batik,1
" Tom yam, ayam masak merah, nasik ayam penyet, kopi belalak, zinger burger, kek batik. Hahahaha! Leput kerja ????",1
" Ahh, aku teringin sarah punya kek batik ritu yg kat sg tu. Ahh. ???????? jauhnyaaaa...",1
 First time buat kek batik sendiri sedap siott,1
 aku nak kek batik dowh,1
 Weekend ni nak buat kek batik indulges tu ??,1
 Nak kek batik ??????,1
" Tolong lah dpt kek batik esok, nak pos ni",1
 love that i spent 30mins tonight making something i love - kek batik!!?? something to look forward to tomorrow.,1
  _ainanajwa_ Cowie tak makan kek batik. Hang keja mana wei skunk.,0
  benmyob Hahaha aku tak juai wey. Kek batik cheese nak dak ? Makcik aku ada juai. ,
 Aku jadi dropship kek batik tapi nk beli kek batik pun miskin hahaha. Haih sabar-1. Hari-1 dok telan air liur je??,0
" Cheesekut , Tiramisu dan Kek Batik pun open order guys! Jom order untuk merasai kenikmatan kek kami ?? ",1
  nak kek batik .. sambal udang .. hmm ..,1
  yiyieeen Our not too sweet Kek Batik Indulgence and Kek Batik that will satisfy your crave for sweet desserts. COD,1
  zainuryusra  nurlnjhah Ahhhhhh...lpasni aku tknk tuntut kek batik.aku nk kek pelikat,-1
" aq sumpah nak kek batik, nak buat sendiri tapi aq fobia sebab dua kali buat dua dua tak jadi tsktsk aq nak",1
" Aku buat kek batik, tapi aku sendiri yg tak makan. Apo",0
 Banyak kali dah buat kek batik jadi je. Harini buat tak jadi haih geramnya aku ??,-1
  AlepHazwan  rudyramly Kek batik moden kot. Kaler purple mesti perisa keladi,0
 My kek batik is soooooooo delicious!!!!! ??????????,1
 Craving kek batik ni dari awal tahun lepas lagi smpai sekarang tak tunaikan lagi ??,1
 craving kek batik ??,1
 Obses dengan kek batik sendiri . AHAHHAHAH SEDAP SIOTT ??????,1
  syirahjmldn  WanieHM Haha i ada cousin pandai buat kek batik keras ??  syirahjmldn,-1
 dokyeom baju nya kek batik engkong gw,0
  WanieHM Kek batik keras for lyfe!!,0
 Dapat kek batik indulgence pun sedap jugak ni,1
